date,country,currency,amount
2019-10-21,Belgium,CAD,22953
2019-10-21,Australia,USD,37394
2019-10-21,Austria,USD,22442
2019-10-21,Belgium,GBP,67364
2019-10-21,United Arab Emirates,EUR,91345
2019-10-21,Latvia,GBP,29457
2019-10-21,Italy,USD,91742
2019-10-21,United States of America,AUD,5274
2019-10-21,South Africa,EUR,12058
2019-10-21,United Arab Emirates,EUR,81910
2019-10-21,Italy,GBP,29019
2019-10-21,Qatar,AUD,17567
2019-10-21,Belgium,EUR,22051
2019-10-21,United States of America,GBP,95885
2019-10-21,Latvia,EUR,85451
2019-10-21,Qatar,CAD,78113
2019-10-21,Australia,AUD,76800
2019-10-21,Belgium,USD,40301
2019-10-21,Italy,GBP,91543
2019-10-21,Qatar,EUR,80177
2019-10-21,Italy,USD,66010
2019-10-21,Belgium,CAD,95546
2019-10-21,Austria,EUR,44687
2019-10-21,Italy,EUR,36486
2019-10-21,Australia,GBP,81252
2019-10-21,Australia,AUD,69957
2019-10-21,Belgium,AUD,78338
2019-10-21,Belgium,GBP,53853
2019-10-21,South Africa,CAD,21139
2019-10-21,Australia,EUR,65705
2019-10-21,South Africa,USD,72836
2019-10-21,Belgium,CAD,1280
2019-10-21,United States of America,USD,78086
2019-10-21,United States of America,CAD,7517
2019-10-21,Australia,GBP,23265
2019-10-21,South Africa,USD,61062
2019-10-21,Australia,EUR,39716
2019-10-21,United States of America,GBP,97517
2019-10-21,Italy,CAD,18953
2019-10-21,Austria,AUD,18845
2019-10-21,Belgium,CAD,3213
2019-10-21,South Africa,GBP,47455
2019-10-21,United States of America,CAD,62909
2019-10-21,Australia,AUD,7044
2019-10-21,Italy,GBP,48903
2019-10-21,Australia,EUR,86683
2019-10-21,United Arab Emirates,AUD,2504
2019-10-21,United Kingdom,CAD,52726
2019-10-21,Australia,USD,41279
2019-10-21,Latvia,USD,18202
2019-10-21,United States of America,GBP,31626
2019-10-21,Latvia,CAD,11243
2019-10-21,Belgium,EUR,97103
2019-10-21,Belgium,AUD,28547
2019-10-21,United Arab Emirates,AUD,46150
2019-10-21,South Africa,CAD,21469
2019-10-21,Belgium,USD,24415
2019-10-21,Italy,USD,90126
2019-10-21,Australia,USD,43749
2019-10-21,United States of America,GBP,90417
2019-10-21,Belgium,GBP,39586
2019-10-21,Latvia,USD,21069
2019-10-21,Latvia,GBP,32667
2019-10-21,South Africa,AUD,78990
2019-10-22,United States of America,GBP,53062
2019-10-22,Austria,EUR,9004
2019-10-22,United Arab Emirates,EUR,98996
2019-10-22,Austria,USD,85705
2019-10-22,Belgium,CAD,49853
2019-10-22,United States of America,AUD,46863
2019-10-22,Latvia,EUR,61784
2019-10-22,United States of America,AUD,61386
2019-10-22,Belgium,CAD,28437
2019-10-22,Austria,EUR,54310
2019-10-22,United Arab Emirates,USD,20021
2019-10-22,United Arab Emirates,EUR,18779
2019-10-22,Qatar,USD,20695
2019-10-22,Qatar,GBP,96126
2019-10-22,Austria,GBP,82201
2019-10-22,United Arab Emirates,EUR,50748
2019-10-22,Australia,CAD,78483
2019-10-22,South Africa,EUR,26
2019-10-22,Qatar,AUD,54031
2019-10-22,United Kingdom,USD,99575
2019-10-22,United Arab Emirates,GBP,77257
2019-10-22,Latvia,USD,14500
2019-10-22,Italy,CAD,72271
2019-10-22,Chile,AUD,43881
2019-10-22,Qatar,AUD,88136
2019-10-22,Latvia,GBP,68768
2019-10-22,United Arab Emirates,EUR,69448
2019-10-22,United Kingdom,USD,89039
2019-10-22,Austria,AUD,27204
2019-10-22,Chile,AUD,75449
2019-10-22,Austria,USD,9729
2019-10-22,Austria,CAD,62132
2019-10-22,Australia,EUR,85297
2019-10-22,Australia,EUR,51838
2019-10-22,Latvia,AUD,89973
2019-10-22,Qatar,AUD,18660
2019-10-22,United States of America,EUR,79016
2019-10-22,Chile,EUR,1472
2019-10-22,Italy,GBP,53386
2019-10-22,Qatar,USD,27894
2019-10-22,Australia,GBP,51584
2019-10-22,United Kingdom,CAD,15972
2019-10-22,Australia,AUD,53243
2019-10-22,South Africa,USD,12400
2019-10-22,Latvia,GBP,8720
2019-10-22,Qatar,EUR,44570
2019-10-22,Latvia,GBP,19294
2019-10-22,Italy,EUR,82511
2019-10-22,Italy,GBP,41396
2019-10-22,South Africa,EUR,65638
2019-10-22,United States of America,AUD,94939
2019-10-22,United States of America,USD,8713
2019-10-22,Qatar,CAD,34624
2019-10-22,United Kingdom,GBP,57991
2019-10-22,Latvia,EUR,92645
2019-10-22,United States of America,GBP,87002
2019-10-22,Qatar,GBP,42853
2019-10-22,Australia,CAD,39644
2019-10-22,Belgium,GBP,64978
2019-10-22,Latvia,CAD,49165
2019-10-22,Australia,GBP,12443
2019-10-22,United Kingdom,EUR,37177
2019-10-22,South Africa,AUD,37640
2019-10-22,Italy,USD,10078
2019-10-22,Latvia,CAD,39987
2019-10-22,United Arab Emirates,AUD,93533
2019-10-22,Italy,EUR,51533
2019-10-22,Italy,AUD,77451
2019-10-22,United Kingdom,EUR,38070
2019-10-22,Italy,CAD,92867
2019-10-22,Chile,GBP,57346
2019-10-22,Latvia,CAD,90282
2019-10-22,South Africa,USD,5021
2019-10-22,United States of America,CAD,51062
2019-10-22,Latvia,GBP,2131
2019-10-22,United Arab Emirates,USD,36460
2019-10-22,Italy,USD,16122
2019-10-22,Latvia,AUD,44380
2019-10-22,United States of America,EUR,286
2019-10-22,Italy,EUR,64244
2019-10-22,South Africa,CAD,32001
2019-10-22,Belgium,GBP,46647
2019-10-22,Italy,GBP,48192
2019-10-22,Belgium,CAD,53445
2019-10-22,Austria,CAD,56227
2019-10-22,United Arab Emirates,GBP,39234
2019-10-22,Chile,GBP,5606
2019-10-22,United Kingdom,EUR,93594
2019-10-22,Italy,GBP,60543
2019-10-22,Latvia,USD,27690
2019-10-22,Italy,AUD,97611
2019-10-22,United States of America,USD,79762
2019-10-22,Belgium,AUD,57574
2019-10-22,South Africa,GBP,70387
2019-10-22,United States of America,EUR,58216
2019-10-22,Austria,EUR,83727
2019-10-22,Italy,AUD,15246
2019-10-22,South Africa,AUD,3802
2019-10-22,Italy,USD,70803
2019-10-22,Latvia,CAD,99805
2019-10-22,Chile,GBP,37949
2019-10-22,United States of America,EUR,84203
2019-10-22,United Kingdom,USD,57613
2019-10-22,Chile,GBP,64279
2019-10-22,Australia,USD,81228
2019-10-22,United States of America,GBP,49440
2019-10-22,Chile,USD,83760
2019-10-22,Austria,USD,87459
2019-10-22,United Arab Emirates,EUR,83360
2019-10-22,Belgium,GBP,96505
2019-10-22,United States of America,GBP,31946
2019-10-22,Qatar,AUD,70415
2019-10-22,Latvia,AUD,90882
2019-10-22,Belgium,GBP,5480
2019-10-22,Latvia,GBP,80499
2019-10-22,Chile,GBP,9128
2019-10-22,Austria,EUR,39112
2019-10-22,Italy,EUR,46161
2019-10-22,Chile,EUR,70562
2019-10-22,South Africa,GBP,35989
2019-10-22,Australia,AUD,53066
2019-10-22,Austria,AUD,55866
2019-10-22,Belgium,USD,48762
2019-10-22,Qatar,USD,18960
2019-10-22,United Arab Emirates,AUD,29929
2019-10-22,Latvia,GBP,49580
2019-10-22,Italy,AUD,58705
2019-10-22,Australia,USD,57102
2019-10-22,South Africa,AUD,72137
2019-10-22,Australia,GBP,66358
2019-10-22,Qatar,USD,22026
2019-10-22,Belgium,USD,71002
2019-10-22,Qatar,GBP,69458
2019-10-22,United Arab Emirates,GBP,33468
2019-10-22,South Africa,EUR,54022
2019-10-22,United Kingdom,EUR,59962
2019-10-22,Australia,AUD,55481
2019-10-22,Latvia,AUD,50926
2019-10-22,Belgium,GBP,7670
2019-10-22,Australia,USD,6414
2019-10-22,United Arab Emirates,USD,28788
2019-10-22,Austria,CAD,66695
2019-10-22,Qatar,CAD,7505
2019-10-22,Austria,GBP,38794
2019-10-22,Latvia,GBP,62923
2019-10-22,Latvia,EUR,72013
2019-10-22,Latvia,USD,8758
2019-10-22,Latvia,USD,90021
2019-10-22,Latvia,EUR,57047
2019-10-22,United Kingdom,CAD,44727
2019-10-22,Austria,AUD,29820
2019-10-22,Australia,AUD,2430
2019-10-22,South Africa,AUD,92363
2019-10-22,Italy,CAD,53415
2019-10-22,Austria,USD,64910
2019-10-22,Latvia,AUD,3345
2019-10-22,Latvia,CAD,35685
2019-10-22,Australia,EUR,47429
2019-10-22,Belgium,USD,71158
2019-10-22,Chile,EUR,44301
2019-10-22,United States of America,USD,34435
2019-10-22,United States of America,USD,82387
2019-10-22,Chile,GBP,95337
2019-10-22,United Arab Emirates,AUD,80463
2019-10-22,South Africa,EUR,30190
2019-10-22,United Arab Emirates,USD,81577
2019-10-22,Chile,CAD,96537
2019-10-22,Austria,CAD,29946
2019-10-22,United Kingdom,CAD,13696
2019-10-22,United Arab Emirates,GBP,31722
2019-10-22,Austria,AUD,54888
2019-10-22,United Kingdom,USD,93512
2019-10-22,Australia,GBP,77602
2019-10-22,United States of America,EUR,90944
2019-10-22,Australia,CAD,9524
2019-10-22,Chile,GBP,6424
2019-10-22,Australia,USD,54109
2019-10-22,United Arab Emirates,EUR,12599
2019-10-22,Latvia,GBP,98279
2019-10-22,Belgium,CAD,8790
2019-10-22,South Africa,USD,89897
2019-10-22,United Arab Emirates,USD,71880
2019-10-22,United States of America,EUR,12941
2019-10-22,Latvia,AUD,22910
2019-10-22,Chile,EUR,74856
2019-10-22,Chile,USD,22602
2019-10-22,United States of America,USD,12669
2019-10-22,Italy,USD,2555
2019-10-22,South Africa,CAD,84139
2019-10-22,Australia,USD,67416
2019-10-22,United Arab Emirates,EUR,42789
2019-10-22,United States of America,USD,90617
2019-10-22,United States of America,EUR,90216
2019-10-22,United States of America,CAD,86118
2019-10-22,United Kingdom,GBP,91251
2019-10-22,United States of America,CAD,82812
2019-10-22,United Kingdom,GBP,41561
2019-10-22,South Africa,EUR,5178
2019-10-22,United Kingdom,USD,35388
2019-10-22,South Africa,CAD,40287
2019-10-22,Belgium,AUD,72220
2019-10-22,United States of America,USD,94509
2019-10-22,Latvia,AUD,11814
2019-10-22,Belgium,AUD,4268
2019-10-22,Qatar,USD,67356
2019-10-22,United Arab Emirates,AUD,96950
2019-10-22,United States of America,CAD,7300
2019-10-22,Belgium,GBP,60005
2019-10-22,United States of America,GBP,92835
2019-10-22,United States of America,USD,97363
2019-10-22,United States of America,AUD,54566
2019-10-22,United States of America,GBP,52770
2019-10-22,Latvia,EUR,60747
2019-10-22,United States of America,EUR,10607
2019-10-22,United States of America,GBP,41489
2019-10-22,Italy,EUR,26426
2019-10-22,United Arab Emirates,CAD,66520
2019-10-22,Belgium,EUR,38406
2019-10-22,Chile,CAD,58692
