date,country,currency,amount
2019-10-01,Austria,GBP,63350
2019-10-01,Italy,GBP,57716
2019-10-01,South Africa,USD,13437
2019-10-01,Belgium,AUD,94121
2019-10-01,Austria,USD,52419
2019-10-01,United States of America,GBP,85027
2019-10-01,Austria,AUD,84638
2019-10-01,United Arab Emirates,CAD,38209
2019-10-01,Chile,EUR,70732
2019-10-01,United Arab Emirates,AUD,90704
2019-10-01,United States of America,AUD,15930
2019-10-01,Italy,GBP,73057
2019-10-01,Chile,CAD,53832
2019-10-01,South Africa,USD,24251
2019-10-01,United States of America,CAD,71903
2019-10-01,Qatar,CAD,94629
2019-10-01,United Arab Emirates,USD,70393
2019-10-01,South Africa,CAD,51753
2019-10-01,Latvia,EUR,65611
2019-10-01,United Arab Emirates,EUR,68012
2019-10-01,Italy,EUR,94748
2019-10-01,Italy,EUR,38489
2019-10-01,South Africa,GBP,33933
2019-10-01,United States of America,USD,64249
2019-10-01,South Africa,AUD,4165
2019-10-01,Qatar,CAD,60848
2019-10-01,Italy,USD,51051
2019-10-01,Qatar,AUD,51073
2019-10-01,Qatar,EUR,74202
2019-10-01,South Africa,USD,35424
2019-10-01,United Kingdom,CAD,7005
2019-10-01,South Africa,EUR,3780
2019-10-01,South Africa,EUR,90288
2019-10-01,Austria,AUD,22922
2019-10-01,Chile,USD,77235
2019-10-01,Italy,USD,36571
2019-10-01,Qatar,GBP,61363
2019-10-01,United States of America,EUR,54094
2019-10-01,Latvia,EUR,23698
2019-10-01,Qatar,AUD,68657
2019-10-01,Chile,AUD,64460
2019-10-01,Italy,EUR,96853
2019-10-01,Austria,GBP,43672
2019-10-01,Belgium,AUD,16346
2019-10-01,United States of America,EUR,33200
2019-10-01,Latvia,EUR,58481
2019-10-01,United Arab Emirates,CAD,48448
2019-10-01,Qatar,EUR,86623
2019-10-01,United Arab Emirates,EUR,60747
2019-10-01,Italy,AUD,35683
2019-10-01,Chile,USD,57270
2019-10-01,Italy,GBP,7300
2019-10-01,Italy,USD,18431
2019-10-01,South Africa,EUR,14817
2019-10-01,United Arab Emirates,GBP,21913
2019-10-01,Chile,AUD,36576
2019-10-01,United Arab Emirates,AUD,33658
2019-10-01,Australia,GBP,37500
2019-10-01,Qatar,GBP,89605
2019-10-01,South Africa,CAD,42888
2019-10-01,United Arab Emirates,CAD,60796
2019-10-01,Latvia,EUR,88196
2019-10-01,Qatar,EUR,84465
2019-10-01,United Kingdom,USD,9060
2019-10-01,United Kingdom,GBP,1192
2019-10-01,United Arab Emirates,EUR,79083
2019-10-01,Austria,EUR,64003
2019-10-01,Austria,USD,95479
2019-10-01,Chile,EUR,76683
2019-10-01,United States of America,USD,56660
2019-10-01,Chile,EUR,88908
2019-10-01,United Kingdom,EUR,16213
2019-10-01,Australia,CAD,23616
2019-10-01,Australia,EUR,48852
2019-10-01,Latvia,EUR,83309
2019-10-01,Qatar,GBP,9341
2019-10-01,Latvia,CAD,45981
2019-10-01,Chile,CAD,77477
2019-10-01,Italy,AUD,59591
2019-10-01,Belgium,AUD,98036
2019-10-01,Italy,CAD,12317
2019-10-01,Latvia,EUR,92227
2019-10-01,United Kingdom,CAD,45502
2019-10-01,Belgium,GBP,5333
2019-10-01,Australia,USD,12729
2019-10-01,Italy,USD,79843
2019-10-01,Belgium,AUD,85384
2019-10-01,United States of America,GBP,98248
2019-10-01,Qatar,CAD,74934
2019-10-01,Belgium,EUR,9570
2019-10-01,Latvia,GBP,44724
2019-10-01,Belgium,USD,55493
2019-10-01,United States of America,AUD,16725
2019-10-01,Qatar,AUD,95382
2019-10-01,Latvia,AUD,18016
2019-10-01,South Africa,EUR,90161
2019-10-01,South Africa,USD,63594
2019-10-01,Australia,GBP,6728
2019-10-01,Belgium,GBP,88452
2019-10-01,United Arab Emirates,EUR,18234
2019-10-01,United Arab Emirates,USD,58697
2019-10-01,Latvia,CAD,46842
2019-10-01,Belgium,CAD,32698
2019-10-01,Australia,AUD,32305
2019-10-01,Austria,USD,52487
2019-10-01,Qatar,AUD,84924
2019-10-01,Australia,GBP,11509
2019-10-01,Latvia,GBP,45226
2019-10-01,Italy,GBP,59917
2019-10-01,Qatar,USD,56631
2019-10-01,Qatar,GBP,30036
2019-10-01,Qatar,GBP,69371
2019-10-01,United Arab Emirates,GBP,72849
2019-10-01,United States of America,AUD,70799
2019-10-01,United Kingdom,CAD,86411
2019-10-01,United Arab Emirates,AUD,46019
2019-10-01,Australia,EUR,49554
