date,country,currency,amount
2019-10-11,United States of America,USD,8550
2019-10-11,South Africa,EUR,68888
2019-10-11,Austria,AUD,31611
2019-10-11,Qatar,CAD,9036
2019-10-11,Italy,GBP,73902
2019-10-11,Qatar,AUD,66893
2019-10-11,Australia,USD,32876
2019-10-11,United States of America,USD,54436
2019-10-11,Latvia,AUD,84272
2019-10-11,Qatar,EUR,28672
2019-10-11,Latvia,GBP,12019
2019-10-11,Belgium,USD,6200
2019-10-11,Italy,EUR,24712
2019-10-11,Belgium,GBP,96042
2019-10-11,Austria,GBP,49574
2019-10-11,Latvia,GBP,32782
2019-10-11,Australia,EUR,51111
2019-10-11,United Arab Emirates,EUR,67502
2019-10-11,United States of America,EUR,99170
2019-10-11,United Arab Emirates,CAD,50870
2019-10-11,Austria,GBP,59774
2019-10-11,United States of America,EUR,45307
2019-10-11,Latvia,EUR,59963
2019-10-11,Latvia,USD,72
2019-10-11,Italy,GBP,468
2019-10-11,United Kingdom,EUR,87388
2019-10-11,United States of America,CAD,52085
2019-10-11,Latvia,AUD,26651
2019-10-11,Latvia,EUR,84810
2019-10-11,Australia,GBP,3575
2019-10-11,Chile,EUR,3238
2019-10-11,Qatar,EUR,8466
2019-10-11,South Africa,EUR,35188
2019-10-11,Chile,USD,81658
2019-10-11,United Arab Emirates,AUD,24408
2019-10-11,Belgium,GBP,46191
2019-10-11,United Kingdom,USD,57253
2019-10-11,Italy,USD,30881
2019-10-11,United Kingdom,GBP,20251
2019-10-11,Qatar,GBP,57404
2019-10-11,United Arab Emirates,GBP,30619
2019-10-11,Australia,USD,87768
2019-10-11,Latvia,AUD,80868
2019-10-11,Italy,EUR,11431
2019-10-11,Chile,USD,72505
2019-10-11,United States of America,USD,25042
2019-10-11,Belgium,GBP,89451
2019-10-11,United Kingdom,USD,89823
2019-10-11,Italy,USD,79346
2019-10-11,United Arab Emirates,CAD,20576
2019-10-11,Belgium,AUD,8218
2019-10-11,Chile,CAD,78084
2019-10-11,United Kingdom,USD,25663
2019-10-11,Belgium,USD,69573
2019-10-11,Italy,AUD,48480
2019-10-11,South Africa,GBP,21036
2019-10-11,Belgium,AUD,84966
2019-10-11,Chile,CAD,39151
2019-10-11,Belgium,EUR,87993
2019-10-11,United Kingdom,AUD,23876
2019-10-11,United Kingdom,USD,29155
2019-10-11,Austria,EUR,2746
2019-10-11,United Arab Emirates,EUR,33708
2019-10-11,Austria,EUR,52737
2019-10-11,Chile,CAD,80527
2019-10-11,Italy,GBP,41531
2019-10-11,Qatar,AUD,24421
2019-10-11,South Africa,EUR,31929
2019-10-11,Austria,AUD,44647
2019-10-11,South Africa,GBP,31120
2019-10-11,Austria,EUR,63772
2019-10-11,Italy,AUD,88483
2019-10-11,South Africa,USD,29231
2019-10-11,United Arab Emirates,GBP,94883
2019-10-11,United Kingdom,AUD,4024
2019-10-11,United Kingdom,USD,10471
2019-10-11,Belgium,GBP,30739
2019-10-11,Australia,EUR,47152
2019-10-11,Latvia,USD,85818
2019-10-11,Qatar,USD,88242
2019-10-11,United Kingdom,USD,16065
2019-10-11,United Kingdom,CAD,52794
2019-10-11,Chile,AUD,19048
2019-10-11,United States of America,GBP,95619
2019-10-11,South Africa,EUR,18781
2019-10-11,Latvia,USD,5551
2019-10-11,Belgium,AUD,49185
2019-10-11,Austria,EUR,90378
2019-10-11,Australia,CAD,71499
2019-10-11,United Kingdom,CAD,84184
2019-10-11,Belgium,USD,68445
2019-10-11,United Kingdom,USD,9412
2019-10-11,Qatar,GBP,67301
2019-10-11,Australia,EUR,16036
2019-10-11,Chile,USD,88353
2019-10-11,United Kingdom,EUR,42627
2019-10-11,United States of America,AUD,84753
2019-10-11,Latvia,CAD,5621
2019-10-11,United Kingdom,GBP,80304
2019-10-11,United States of America,GBP,84576
2019-10-11,Australia,CAD,61635
2019-10-11,South Africa,AUD,72403
2019-10-11,United Arab Emirates,EUR,45497
2019-10-11,United Kingdom,USD,85142
2019-10-11,Australia,USD,95899
2019-10-11,Italy,GBP,78640
2019-10-11,Australia,EUR,55708
2019-10-11,United States of America,EUR,77292
2019-10-11,South Africa,GBP,22947
2019-10-11,Latvia,USD,2930
2019-10-11,Belgium,GBP,86562
2019-10-11,Australia,AUD,62249
2019-10-11,United Arab Emirates,AUD,92653
2019-10-11,South Africa,GBP,5629
2019-10-11,Latvia,CAD,92953
2019-10-11,United Arab Emirates,AUD,30295
2019-10-11,United States of America,CAD,8342
2019-10-11,Chile,GBP,26959
2019-10-11,South Africa,GBP,90877
2019-10-11,Belgium,CAD,26991
2019-10-11,Italy,USD,63010
2019-10-11,South Africa,GBP,2758
2019-10-11,Italy,AUD,74730
2019-10-11,Qatar,EUR,40573
2019-10-11,South Africa,EUR,20555
2019-10-11,Australia,AUD,45595
2019-10-11,Italy,AUD,41925
2019-10-11,United Arab Emirates,AUD,15039
2019-10-11,South Africa,USD,43145
2019-10-11,Chile,AUD,6462
2019-10-11,Qatar,EUR,18320
2019-10-11,Qatar,GBP,98677
2019-10-11,Italy,CAD,45605
2019-10-11,Belgium,EUR,52872
2019-10-11,United States of America,CAD,75724
2019-10-11,Italy,CAD,63724
2019-10-11,Austria,EUR,13337
2019-10-11,Latvia,AUD,24205
2019-10-11,Belgium,AUD,88396
2019-10-11,United States of America,AUD,28682
2019-10-11,United Arab Emirates,EUR,88452
2019-10-11,Qatar,CAD,4330
2019-10-11,United Arab Emirates,AUD,57754
2019-10-11,United Kingdom,GBP,55159
2019-10-11,United Arab Emirates,GBP,92052
2019-10-11,Chile,GBP,32231
2019-10-11,United Kingdom,CAD,28935
2019-10-11,Qatar,EUR,3664
2019-10-11,South Africa,AUD,55877
2019-10-11,Latvia,AUD,2413
2019-10-11,United States of America,CAD,95448
2019-10-11,United Kingdom,AUD,23711
2019-10-11,Austria,USD,65618
2019-10-11,South Africa,GBP,60609
2019-10-11,United Kingdom,USD,55712
2019-10-11,Qatar,AUD,15211
2019-10-11,South Africa,GBP,10076
2019-10-11,United Kingdom,AUD,90585
2019-10-11,Italy,EUR,42851
2019-10-11,United Kingdom,AUD,1207
2019-10-11,Latvia,CAD,55793
2019-10-11,United Arab Emirates,EUR,47131
2019-10-11,Italy,CAD,85161
2019-10-11,Chile,EUR,83054
2019-10-11,Qatar,GBP,74961
2019-10-11,Australia,AUD,31891
2019-10-11,United Arab Emirates,GBP,49391
2019-10-11,Italy,EUR,53434
2019-10-11,Qatar,GBP,39928
2019-10-11,Austria,CAD,2728
2019-10-11,United Kingdom,GBP,98426
2019-10-11,United Arab Emirates,GBP,25677
2019-10-11,Belgium,USD,64425
2019-10-11,Italy,GBP,54380
2019-10-11,South Africa,USD,10541
2019-10-11,Chile,CAD,29555
2019-10-11,Australia,CAD,6534
2019-10-11,Italy,USD,97454
2019-10-11,Chile,GBP,39331
2019-10-11,Austria,GBP,5824
2019-10-11,Latvia,AUD,83885
2019-10-11,United States of America,CAD,39955
2019-10-11,Austria,USD,80738
2019-10-11,United States of America,CAD,57574
2019-10-11,Belgium,USD,8248
2019-10-11,United Kingdom,USD,17269
2019-10-11,United States of America,CAD,79228
2019-10-11,Austria,CAD,53846
2019-10-11,Belgium,CAD,82694
2019-10-11,South Africa,EUR,12323
2019-10-11,Australia,GBP,58001
2019-10-11,Latvia,CAD,60679
2019-10-11,United States of America,USD,2526
2019-10-11,Belgium,GBP,13103
2019-10-11,United States of America,EUR,74161
2019-10-11,Chile,EUR,73937
2019-10-11,Latvia,GBP,84115
2019-10-11,Australia,GBP,25748
2019-10-11,United Arab Emirates,USD,31112
2019-10-11,Chile,USD,18219
2019-10-11,Chile,CAD,14014
2019-10-11,United Kingdom,AUD,88088
2019-10-11,Latvia,EUR,24913
2019-10-11,United Arab Emirates,AUD,50759
2019-10-11,United Kingdom,GBP,86400
2019-10-11,United Kingdom,USD,58066
2019-10-11,Italy,GBP,46699
2019-10-11,United States of America,AUD,21774
2019-10-11,Belgium,EUR,13434
2019-10-11,Belgium,CAD,1925
2019-10-11,Australia,AUD,9427
2019-10-11,Australia,GBP,96218
2019-10-11,Austria,GBP,19026
2019-10-11,Qatar,USD,12609
2019-10-11,United Kingdom,CAD,57333
2019-10-11,Chile,CAD,86843
2019-10-11,Belgium,AUD,39322
2019-10-11,Australia,CAD,95315
2019-10-11,Chile,USD,37896
2019-10-11,United Kingdom,EUR,38178
2019-10-11,Italy,GBP,19127
2019-10-11,United Kingdom,USD,43719
2019-10-11,Chile,AUD,18728
2019-10-11,Latvia,CAD,34451
2019-10-11,Austria,GBP,24811
2019-10-11,Italy,AUD,20643
2019-10-11,Belgium,EUR,1427
2019-10-11,Chile,USD,77715
2019-10-11,United States of America,USD,79943
2019-10-11,Latvia,GBP,87488
2019-10-11,Chile,AUD,34352
2019-10-11,Latvia,GBP,72932
2019-10-11,Austria,EUR,70923
2019-10-11,United Arab Emirates,EUR,99850
2019-10-11,Italy,EUR,88500
2019-10-11,Belgium,CAD,77357
2019-10-11,Austria,USD,61174
2019-10-11,United Arab Emirates,EUR,45796
2019-10-11,Qatar,USD,96860
2019-10-11,United States of America,CAD,4748
2019-10-11,Italy,AUD,40593
2019-10-11,United Arab Emirates,USD,21869
2019-10-11,Australia,AUD,18852
2019-10-11,Australia,GBP,83882
2019-10-11,Latvia,CAD,14743
2019-10-11,Latvia,CAD,85937
2019-10-11,Chile,EUR,40379
2019-10-11,Latvia,GBP,24618
2019-10-12,Latvia,USD,51016
2019-10-12,United Arab Emirates,GBP,18140
2019-10-12,Australia,GBP,61166
2019-10-12,Chile,AUD,41765
2019-10-12,United Kingdom,CAD,76378
2019-10-12,Chile,GBP,64335
2019-10-12,Belgium,GBP,8010
2019-10-12,Italy,EUR,68253
2019-10-12,Latvia,EUR,1753
2019-10-12,United States of America,AUD,14749
2019-10-12,Latvia,EUR,28290
2019-10-12,Belgium,EUR,90282
2019-10-12,Chile,USD,73952
2019-10-12,Austria,GBP,60665
2019-10-12,Belgium,USD,18372
2019-10-12,Latvia,USD,64696
2019-10-12,Qatar,USD,94662
2019-10-12,Australia,CAD,29125
2019-10-12,Latvia,EUR,72638
2019-10-12,United Kingdom,USD,79470
2019-10-12,United Arab Emirates,USD,65814
2019-10-12,Qatar,USD,82065
2019-10-12,Latvia,USD,2492
2019-10-12,Belgium,USD,98874
2019-10-12,United States of America,CAD,30716
2019-10-12,Italy,CAD,70506
2019-10-12,Italy,EUR,74456
2019-10-12,Austria,EUR,22982
2019-10-12,United States of America,GBP,19634
2019-10-12,Latvia,USD,90365
2019-10-12,United States of America,USD,82337
2019-10-12,Italy,CAD,76251
2019-10-12,South Africa,USD,86263
2019-10-12,Australia,GBP,39920
2019-10-12,United States of America,EUR,61705
2019-10-12,Belgium,USD,61709
2019-10-12,United Kingdom,AUD,90307
2019-10-12,United States of America,GBP,93711
2019-10-12,Belgium,AUD,96204
2019-10-12,Qatar,CAD,88848
2019-10-12,Qatar,AUD,84461
2019-10-12,Latvia,AUD,78613
2019-10-12,South Africa,EUR,31247
2019-10-12,Qatar,AUD,15762
2019-10-12,United States of America,GBP,14339
2019-10-12,Italy,AUD,37576
2019-10-12,Belgium,EUR,73021
2019-10-12,Qatar,CAD,37704
2019-10-12,Chile,EUR,21008
2019-10-12,United Kingdom,GBP,30117
2019-10-12,Qatar,USD,24375
